epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,lr
1,1.0463736057281494,0.5564971566200256,0.6285714507102966,0.37288135290145874,2.7893733978271484,0.2933333218097687,0.29655173420906067,0.2866666615009308,0.001
2,0.8631272912025452,0.6271186470985413,0.7162978053092957,0.5028248429298401,3.026451349258423,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.001
3,0.7735535502433777,0.6610169410705566,0.7312859892845154,0.5381355881690979,3.1094629764556885,0.2266666740179062,0.2266666740179062,0.2266666740179062,0.001
4,0.7515621781349182,0.6892655491828918,0.7319587469100952,0.6016949415206909,2.925813913345337,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.001
5,0.6332809329032898,0.7358757257461548,0.7938517332077026,0.6200565099716187,2.73119854927063,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.00020000001
6,0.6511820554733276,0.7019773721694946,0.7383333444595337,0.6257061958312988,2.751253604888916,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.00020000001
7,0.6268739700317383,0.7245762944221497,0.7931624054908752,0.6553672552108765,2.685122013092041,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.00020000001
8,0.5863795876502991,0.75,0.8025889992713928,0.700564980506897,2.5933616161346436,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.00020000001
9,0.5902213454246521,0.741525411605835,0.767405092716217,0.6850282549858093,2.6928274631500244,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.00020000001
10,0.546929121017456,0.741525411605835,0.7860538959503174,0.700564980506897,2.6651525497436523,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.00020000001
11,0.5774093270301819,0.755649745464325,0.782270610332489,0.7104519605636597,2.1013548374176025,0.30666667222976685,0.30666667222976685,0.30666667222976685,0.00020000001
12,0.5822468400001526,0.7485875487327576,0.7793880701065063,0.6836158037185669,2.1609365940093994,0.30666667222976685,0.30666667222976685,0.30666667222976685,0.00020000001
13,0.5888001918792725,0.741525411605835,0.7816455960273743,0.6977401375770569,1.8837941884994507,0.3199999928474426,0.3381294906139374,0.31333333253860474,0.00020000001
14,0.5470015406608582,0.7429378628730774,0.7822580933570862,0.6850282549858093,2.0012283325195312,0.3199999928474426,0.3221476376056671,0.3199999928474426,0.00020000001
15,0.5583786368370056,0.7598869800567627,0.7915360331535339,0.7132768630981445,1.8829097747802734,0.3266666531562805,0.3243243098258972,0.3199999928474426,0.00020000001
16,0.5152525901794434,0.7796609997749329,0.8075117468833923,0.7288135886192322,1.710377812385559,0.3199999928474426,0.3263888955116272,0.31333333253860474,0.00020000001
17,0.567890465259552,0.7796609997749329,0.8027734756469727,0.7358757257461548,1.826513409614563,0.31333333253860474,0.3333333432674408,0.31333333253860474,0.00020000001
18,0.542984127998352,0.7754237055778503,0.8237179517745972,0.7259886860847473,1.3915060758590698,0.31333333253860474,0.46268656849861145,0.20666666328907013,0.00020000001
19,0.5476458072662354,0.7669491767883301,0.807692289352417,0.7118644118309021,1.261465072631836,0.3400000035762787,0.5138888955116272,0.24666666984558105,0.00020000001
20,0.5345626473426819,0.7655367255210876,0.8183279633522034,0.7189265489578247,1.1395782232284546,0.4866666793823242,0.9354838728904724,0.19333332777023315,0.00020000001
21,0.55474454164505,0.7754237055778503,0.8003120422363281,0.7245762944221497,1.2793422937393188,0.4333333373069763,0.49473685026168823,0.31333333253860474,0.00020000001
22,0.5112835168838501,0.7768361568450928,0.7969231009483337,0.7316384315490723,1.1082428693771362,0.54666668176651,0.7758620977401733,0.30000001192092896,0.00020000001
23,0.5232687592506409,0.7627118825912476,0.7993730306625366,0.7203390002250671,1.2928321361541748,0.47999998927116394,0.59375,0.3799999952316284,0.00020000001
24,0.5212443470954895,0.7838982939720154,0.8187599182128906,0.7274011373519897,1.3381247520446777,0.4866666793823242,0.5447154641151428,0.4466666579246521,0.00020000001
25,0.5127926468849182,0.8008474707603455,0.8333333134651184,0.7485875487327576,1.6680060625076294,0.3799999952316284,0.3968254029750824,0.3333333432674408,0.00020000001
26,0.4735654890537262,0.7937853336334229,0.8149847388267517,0.7528248429298401,1.2110720872879028,0.5133333206176758,0.6213592290878296,0.4266666769981384,4.0000003e-05
27,0.4706982672214508,0.8022598624229431,0.8333333134651184,0.755649745464325,0.9681927561759949,0.6133333444595337,0.6761904954910278,0.47333332896232605,4.0000003e-05
28,0.49928417801856995,0.7937853336334229,0.8346213102340698,0.7627118825912476,1.1306630373001099,0.5400000214576721,0.572519063949585,0.5,4.0000003e-05
29,0.4645216763019562,0.7881355881690979,0.8215384483337402,0.7542372941970825,1.2819936275482178,0.5133333206176758,0.560606062412262,0.4933333396911621,4.0000003e-05
30,0.4777114689350128,0.7867231369018555,0.810606062412262,0.755649745464325,1.1452913284301758,0.5,0.5360000133514404,0.4466666579246521,4.0000003e-05
