,precision,recall,f1_score,support
Black,0.824,0.875,0.848,16.0
Broken,0.696,0.889,0.78,18.0
Immature,0.933,0.7,0.8,20.0
Insect Damage,0.867,0.765,0.812,17.0
Premium,0.903,0.933,0.918,30.0
MACRO AVG,0.844,0.832,0.832,101.0
