,precision,recall,f1_score,support
Black,0.9286,0.8125,0.8667,16.0
Broken,0.8333,0.8333,0.8333,18.0
Immature,0.8182,0.9,0.8571,20.0
Insect Damage,0.6842,0.7647,0.7222,17.0
Premium,1.0,0.9333,0.9655,30.0
MACRO AVG,0.8529,0.8488,0.849,101.0
