,precision,recall,f1_score,support
Black,0.6667,0.75,0.7059,16.0
Broken,0.6957,0.8889,0.7805,18.0
Immature,0.7391,0.85,0.7907,20.0
Insect Damage,0.7857,0.6471,0.7097,17.0
Premium,1.0,0.7667,0.8679,30.0
MACRO AVG,0.7774,0.7805,0.7709,101.0
